"TOA5","CR1000_2","CR1000","14274","CR1000.Std.32.05","CPU:Block1 Crimson O2 Sensors.cr1","64624","Oxygen"
"TIMESTAMP","RECORD","BattV_Min","PanelT","B1CloverA5cmO2_Med","B1CloverA5cmTemp_Med","B1CloverA20cmO2_Med","B1CloverA20cmTemp_Med","B1CloverB5cmO2_Med","B1CloverB5cmTemp_Med","B1CloverB20cmO2_Med","B1CloverB20cmTemp_Med","B1CloverC5cmO2_Med","B1CloverC5cmTemp_Med","B1CloverC20cmO2_Med","B1CloverC20cmTemp_Med"
"TS","RN","","","","","","","","","","","","","",""
"","","Min","Smp","Med","Med","Med","Med","Med","Med","Med","Med","Med","Med","Med","Med"
"2021-08-16 15:30:00",0,14.18718,21.88965,10.53488,22.26999,"NAN",-85.20615,11.07617,22.19208,10.56877,22.49033,10.36586,21.98734,9.757645,23.81795
"2021-08-16 16:00:00",1,14.1927,21.5327,10.50047,22.40846,"NAN",-84.86409,11.0418,22.14966,10.5682,22.51883,10.33135,22.1638,9.756552,23.62366
"2021-08-16 16:30:00",2,14.20375,21.17799,10.46702,22.25583,"NAN",-84.86409,11.04207,21.96622,10.5685,22.33386,10.29796,21.9064,9.75666,23.49219
"2021-08-16 17:00:00",3,14.20927,20.77133,10.46677,21.83264,"NAN",-85.20615,11.10929,21.73445,10.56821,21.79755,10.29761,21.48996,9.823999,23.02078
"2021-08-16 17:30:00",4,14.21479,20.85266,10.46674,21.89937,"NAN",-84.86409,11.04177,22.13553,10.61907,21.82562,10.29785,21.87477,9.824055,23.03522
"2021-08-16 18:00:00",5,14.20375,21.2051,10.46704,22.06841,"NAN",-85.20615,10.97477,22.60446,10.63617,22.08607,10.29791,22.49745,9.824348,23.16528
"2021-08-16 18:30:00",6,14.1927,21.28643,10.46689,22.09314,"NAN",-85.20615,11.0253,22.41559,10.63593,22.10727,10.29778,22.39069,9.824224,23.2377
"2021-08-16 19:00:00",7,13.32568,21.09666,10.46686,21.8221,"NAN",-84.86409,11.04189,22.11079,10.60218,21.93102,10.29773,21.96622,9.824171,23.01358
"2021-08-16 19:30:00",8,13.1821,20.71711,10.46673,21.53876,269.3589,-85.20615,11.04176,21.57364,10.56821,21.72745,10.2976,21.46909,9.756395,22.67955
"2021-08-16 20:00:00",9,13.11583,20.44825,10.46678,21.23987,266.4043,-85.20615,11.07555,21.08771,10.56825,21.43427,10.29765,20.90166,9.756527,22.49033
"2021-08-16 20:30:00",10,13.1103,20.31496,10.4668,21.09192,262.7346,-85.03501,11.04207,21.07414,10.56828,21.30922,10.29767,20.86745,9.756468,22.24191
"2021-08-16 21:00:00",11,13.11583,20.31496,10.46675,21.03758,258.3286,-85.20602,11.07558,20.96506,10.56822,21.25461,10.29762,20.74216,9.773515,22.23584
"2021-08-16 21:30:00",12,13.1049,20.34207,10.50059,20.81981,252.335,-85.20609,11.07571,21.036,10.56836,21.03329,10.29776,20.55241,9.824201,22.02348
"2021-08-16 22:00:00",13,13.09926,20.44825,10.50098,20.79913,245.4182,-85.20612,11.04229,21.20914,10.60295,21.07443,10.33166,20.78188,9.824533,22.02303
"2021-08-16 22:30:00",14,13.09374,20.52958,10.4668,20.87424,238.1935,-85.20613,11.04186,21.28151,10.6358,21.14383,10.29762,20.94643,9.824034,22.06552
"2021-08-16 23:00:00",15,13.08822,20.36918,10.46693,20.78575,233.8726,-85.20611,11.07579,20.82608,10.56841,20.94997,10.2978,20.60019,9.790682,21.63654
"2021-08-16 23:30:00",16,13.07757,20.28785,10.46686,20.80275,230.7241,-85.20603,11.07572,20.93292,10.56833,20.95038,10.29772,20.61397,9.824166,21.76305
"2021-08-17 00:00:00",17,13.06641,20.31496,10.46687,20.89502,226.1448,-85.20613,11.07573,21.08426,10.56835,21.06015,10.29774,20.72321,9.824094,21.896
"2021-08-17 00:30:00",18,13.06079,20.36918,10.46679,20.94376,220.6943,-85.20601,11.07551,21.24097,10.56826,21.11655,10.29765,20.77831,9.790163,21.92586
"2021-08-17 01:00:00",19,13.04956,20.44825,10.46679,20.94983,214.2836,-85.20612,11.04153,21.29584,10.56826,21.12985,10.29748,20.80243,9.790247,21.99089
"2021-08-17 01:30:00",20,13.03851,20.50248,10.46671,20.96361,206.9223,-85.20612,11.00791,21.35785,10.56819,21.18451,10.26411,20.81996,9.790442,22.05087
"2021-08-17 02:00:00",21,13.02747,20.47537,10.46677,20.98431,200.1871,-85.03502,11.00798,21.31659,10.56825,21.22609,10.26381,20.85361,9.79019,22.06491
"2021-08-17 02:30:00",22,13.02195,20.47537,10.46673,21.04346,194.5068,-84.86409,11.00794,21.41348,10.56821,21.28226,10.26376,20.90941,9.756443,22.11469
"2021-08-17 03:00:00",23,13.01642,20.5567,10.43296,21.09189,188.5379,-85.20612,11.00786,21.58127,10.56813,21.33777,10.26381,21.02278,9.75633,22.14273
"2021-08-17 03:30:00",24,13.0109,20.63803,10.43292,21.19833,181.8578,-84.86409,11.00794,21.69949,10.56821,21.44821,10.26428,21.2468,9.756405,22.23459
"2021-08-17 04:00:00",25,13.00538,20.71711,10.43297,21.21219,174.9959,-84.86409,11.008,21.69247,10.56827,21.44821,10.26378,21.31616,9.756458,22.21687
"2021-08-17 04:30:00",26,13.00538,20.79844,10.43291,21.24335,167.5001,-84.86409,11.00794,21.69949,10.56821,21.47607,10.22996,21.39606,9.756405,22.23459
"2021-08-17 05:00:00",27,12.99986,20.93399,10.43285,21.36478,160.0259,-85.03511,11.00787,21.84317,10.56815,21.58762,10.2299,21.48651,9.756348,22.33742
"2021-08-17 05:30:00",28,12.99986,21.04244,10.43292,21.47607,152.0892,-85.03511,11.00795,21.95917,10.56822,21.69949,10.22999,21.58414,9.756406,22.45116
"2021-08-17 06:00:00",29,12.99986,21.06955,10.43288,21.47607,146.4628,-84.86409,11.0079,21.92751,10.56817,21.74149,10.22992,21.44125,9.75637,22.47252
"2021-08-17 06:30:00",30,12.98881,21.09666,10.43311,21.50391,141.3922,-84.86409,11.00815,21.90994,10.56841,21.77301,10.23016,21.41342,9.756596,22.50458
